Iteration,ExecutionTime
861,2.3792000000022462e-05
862,2.283400000002711e-05
863,1.820799999996403e-05
864,1.8583000000016447e-05
865,1.84169999999928e-05
866,1.8459000000026204e-05
867,1.8166999999957856e-05
868,1.84169999999928e-05
869,1.8291999999975328e-05
870,2.3792000000022462e-05
871,2.345800000003173e-05
872,2.270799999998241e-05
873,1.808300000000207e-05
874,1.8333000000037014e-05
875,1.820899999999126e-05
876,1.841599999996557e-05
877,1.8167000000013367e-05
878,1.8374999999959396e-05
879,1.8208000000019542e-05
880,2.3625000000027097e-05
881,2.3500000000009624e-05
882,2.2667000000031745e-05
883,1.8291999999975328e-05
884,1.8333000000037014e-05
885,1.8083999999973788e-05
886,1.8457999999998975e-05
887,1.8000000000018e-05
888,1.8249999999997435e-05
889,1.8041999999995895e-05
890,2.345799999997622e-05
891,2.291700000001118e-05
892,2.262499999999834e-05
893,1.8165999999986138e-05
894,1.8249999999997435e-05
895,1.8208000000019542e-05
896,1.8124999999979963e-05
897,1.8041000000024177e-05
898,1.883299999999588e-05
899,1.8165999999986138e-05
900,2.3417000000025556e-05
901,2.3500000000009624e-05
902,2.3625000000027097e-05
903,2.2875000000033285e-05
904,2.0291999999977328e-05
905,2.0041999999997895e-05
906,2.0458999999972693e-05
907,1.8374999999959396e-05
908,1.883400000002311e-05
909,1.8540999999983043e-05
910,2.3832999999973126e-05
911,2.1084000000004544e-05
912,2.020799999996603e-05
913,1.84169999999928e-05
914,1.787500000000053e-05
915,1.8042000000051406e-05
916,1.829100000000361e-05
917,1.7833000000022636e-05
918,1.787500000000053e-05
919,1.7833999999994354e-05
920,2.3166999999990612e-05
921,2.312500000001272e-05
922,2.2458000000002976e-05
923,1.8000000000018e-05
924,1.820899999999126e-05
925,1.833399999995322e-05
926,1.8124999999979963e-05
927,1.8040999999968665e-05
928,1.8499999999976868e-05
929,1.8334000000008732e-05
930,2.3916999999984423e-05
931,2.3541999999987517e-05
932,2.24169999999968e-05
933,1.779200000001646e-05
934,1.7916999999978422e-05
935,1.787500000000053e-05
936,1.816600000004165e-05
937,1.766699999999899e-05
938,1.8208000000019542e-05
939,1.766699999999899e-05
940,2.220799999996803e-05
941,2.3083000000034826e-05
942,2.3582999999993692e-05
943,2.112500000001072e-05
944,2.3416999999970045e-05
945,2.3166999999990612e-05
946,1.8167000000013367e-05
